Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,58,3,11.9,1.9,3.6,0.538,0,0,,1.9,3.6,0.538,0.538,0.9,1.8,0.515,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,4.8
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,0.125,0,0.3,0,0.1,0.9,0.167,0.125,0,0,,0,0.4,0.4,0.3,0,0,0,0.1,0.3
3,Steven Adams\adamsst01,C,27,NOP,58,58,27.7,3.3,5.3,0.614,0,0.1,0,3.3,5.3,0.62,0.614,1,2.3,0.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6
4,Bam Adebayo\adebaba01,C,23,MIA,59,59,33.5,7.2,12.7,0.567,0,0.1,0.25,7.2,12.5,0.57,0.568,4.5,5.7,0.797,2.3,6.8,9.1,5.4,1.2,1,2.7,2.2,18.9
5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,23,25.9,5.4,11.4,0.473,1.2,3.1,0.388,4.2,8.3,0.505,0.525,1.6,1.8,0.872,0.7,3.8,4.5,1.9,0.4,1.1,1,1.8,13.5
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,18,25.9,5.5,11.8,0.464,1.3,3.6,0.36,4.2,8.2,0.509,0.518,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1,1.7,13.7
5,LaMarcus Aldridge\aldrila01,C,35,BRK,5,5,26,5,9.6,0.521,0.8,1,0.8,4.2,8.6,0.488,0.563,2,2,1,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,12,0,2.9,0.2,0.9,0.182,0.1,0.7,0.125,0.1,0.3,0.333,0.227,0.1,0.2,0.5,0.1,0.3,0.4,0.3,0,0.1,0.2,0.1,0.5
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,10,20.8,3.9,9.2,0.418,1.6,4.6,0.348,2.3,4.7,0.487,0.504,1,1.3,0.75,0.2,2.8,3.1,2,1,0.5,1.4,1.9,10.2
8,Grayson Allen\allengr01,SG,25,MEM,49,37,25.6,3.5,8.4,0.418,2.2,5.6,0.391,1.3,2.9,0.471,0.547,1.6,1.8,0.865,0.4,2.9,3.3,2.2,0.9,0.2,1,1.4,10.8
9,Jarrett Allen\allenja01,C,22,TOT,56,38,29.5,4.9,7.7,0.641,0.1,0.3,0.357,4.8,7.4,0.651,0.647,3.3,4.7,0.709,3.1,6.9,9.9,1.7,0.5,1.5,1.6,1.6,13.2
9,Jarrett Allen\allenja01,C,22,BRK,12,5,26.7,3.7,5.4,0.677,0,0,,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Jarrett Allen\allenja01,C,22,CLE,44,33,30.2,5.3,8.3,0.635,0.1,0.3,0.357,5.1,8,0.646,0.641,3.2,4.5,0.695,3,6.8,9.8,1.7,0.5,1.5,1.5,1.5,13.8
10,Al-Farouq Aminu\aminual01,PF,30,TOT,23,14,18.9,1.7,4.3,0.384,0.3,1.6,0.216,1.3,2.7,0.484,0.424,0.8,1,0.818,1,3.8,4.8,1.3,0.8,0.4,1.2,1.3,4.4
10,Al-Farouq Aminu\aminual01,PF,30,ORL,17,14,21.6,2.1,5.2,0.404,0.4,1.8,0.226,1.7,3.4,0.5,0.444,0.8,1,0.824,1.2,4.2,5.4,1.7,1,0.5,1.5,1.3,5.5
10,Al-Farouq Aminu\aminual01,PF,30,CHI,6,0,11.2,0.3,1.7,0.2,0.2,1,0.167,0.2,0.7,0.25,0.25,0.7,0.8,0.8,0.3,2.8,3.2,0.3,0.3,0,0.5,1.2,1.5
11,Kyle Anderson\anderky01,PF,27,MEM,62,62,27.2,4.4,9.6,0.461,1.3,3.8,0.349,3.1,5.8,0.536,0.531,2,2.6,0.781,0.8,5.1,5.9,3.5,1.3,0.8,1.2,1.8,12.2
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,55,55,33.2,10.3,18.4,0.562,1.2,3.8,0.314,9.1,14.6,0.626,0.595,6.7,9.7,0.685,1.6,9.5,11.1,5.9,1.2,1.3,3.6,2.7,28.5
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,14,0,3.8,0.2,0.7,0.3,0,0,,0.2,0.7,0.3,0.3,0.4,0.9,0.462,0.3,1.1,1.4,0.1,0.1,0.3,0.7,0.5,0.9
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,52,2,9.8,1.3,2.5,0.515,0.1,0.5,0.259,1.2,2,0.583,0.542,0.4,0.8,0.463,1,1.3,2.3,0.8,0.4,0.2,0.8,1.3,3.1
15,Carmelo Anthony\anthoca01,PF,36,POR,64,3,24.7,4.8,11.5,0.421,1.9,4.8,0.405,2.9,6.8,0.433,0.505,2,2.3,0.884,0.5,2.7,3.2,1.5,0.7,0.5,0.9,2,13.6
16,Cole Anthony\anthoco01,PG,20,ORL,40,27,27.2,4.5,11.3,0.397,1.2,3.5,0.336,3.3,7.8,0.425,0.449,2.1,2.6,0.817,0.8,3.8,4.6,4.3,0.7,0.4,2.1,2.1,12.3
17,OG Anunoby\anunoog01,SF,23,TOR,43,43,33.3,5.8,12.1,0.48,2.4,6.1,0.398,3.4,6,0.562,0.58,1.9,2.4,0.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9
18,Ryan Arcidiacono\arcidry01,PG,26,CHI,40,0,10.4,1,2.6,0.39,0.5,1.5,0.322,0.6,1.2,0.478,0.481,0.3,0.5,0.65,0.1,1.4,1.5,1.2,0.2,0,0.2,1.1,2.9
19,Trevor Ariza\arizatr01,SF,35,MIA,25,22,27.2,3.2,7.7,0.42,1.7,4.7,0.359,1.6,3,0.513,0.528,1.1,1.5,0.737,0.8,3.8,4.6,1.8,0.9,0.6,0.8,1.8,9.3
20,D.J. Augustin\augusdj01,PG,33,TOT,51,6,19.2,2.2,5.6,0.385,1.3,3.5,0.374,0.8,2.1,0.402,0.502,1.4,1.5,0.932,0.4,1.3,1.6,3.3,0.5,0,1.1,1,7
20,D.J. Augustin\augusdj01,PG,33,MIL,37,6,19.3,1.9,5.2,0.37,1.3,3.5,0.38,0.6,1.7,0.349,0.497,1,1.1,0.9,0.3,1.1,1.4,3,0.5,0,0.9,0.9,6.1
20,D.J. Augustin\augusdj01,PG,33,HOU,14,0,19.1,2.8,6.7,0.415,1.3,3.6,0.36,1.5,3.1,0.477,0.511,2.4,2.4,0.971,0.5,1.8,2.3,4,0.4,0,1.5,1.3,9.2
21,Deni Avdija\avdijde01,SF,20,WAS,54,32,23.3,2.4,5.8,0.417,1,3.1,0.315,1.4,2.7,0.535,0.502,0.5,0.8,0.644,0.4,4.4,4.9,1.2,0.6,0.3,0.6,2.6,6.3
